order_id,item_name,quantity,order_datetime
ORD0001,Panna Cotta,3,2024-03-12 13:01
ORD0002,Panna Cotta,3,2024-03-20 19:44
ORD0002,Lasagna,3,2024-03-20 19:44
ORD0003,Fettuccine Alfredo,2,2024-03-02 17:52
ORD0003,Margherita,1,2024-03-02 17:52
ORD0004,Cannoli,3,2024-03-20 19:47
ORD0004,  MARINARA PIZZA  ,1,2024-03-20 19:47
ORD0005,Calzone,1,2024-03-27 11:32
ORD0005,Panna Cotta,1,2024-03-27 11:32
ORD0006,Carbonara,2,2024-03-30 19:35
ORD0007,  FETTUCCINE ALFREDO  ,2,2024-03-30 13:04
ORD0007,Lasagna,2,2024-03-30 13:04
ORD0008,Carbonara,1,2024-03-16 20:18
ORD0008,Margherita,3,2024-03-16 20:18
ORD0009,Fettuccine Alfredo,3,2024-03-25 22:48
ORD0009,Quattro Formaggi,2,2024-03-25 22:48
ORD0010,Espresso,1,2024-03-17 16:54
ORD0011,Lasagna,3,2024-03-01 08:29
ORD0011,Prosecco,1,2024-03-01 08:29
ORD0011,Panna Cotta,1,2024-03-01 08:29
ORD0012,  FETTUCCINE ALFREDO  ,3,2024-03-19 14:38
ORD0013,Carbonara,2,2024-03-09 16:37
ORD0013,Espresso,2,2024-03-09 16:37
ORD0014,Fettuccine Alfredo,2,2024-03-12 12:20
ORD0014,Panna Cotta,1,2024-03-12 12:20
ORD0015,Prosecco,3,2024-03-21 11:57
ORD0016,  LASAGNA  ,2,2024-03-10 17:38
ORD0016,Panna Cotta,2,2024-03-10 17:38
ORD0017,Panna Cotta,1,2024-03-10 16:39
ORD0017,Lasagna,1,2024-03-10 16:39
ORD0017,Margherita,3,2024-03-10 16:39
ORD0018,Margherita,3,2024-03-20 11:08
ORD0019,Fettuccine Alfredo,3,2024-03-04 21:55
ORD0019,Quattro Formaggi,2,2024-03-04 21:55
ORD0020,  MARGHERITA  ,2,2024-03-12 10:00
ORD0021,Cannoli,1,2024-03-28 21:22
ORD0021,Carbonara,3,2024-03-28 21:22
ORD0021,Caprese Salad,2,2024-03-28 21:22
ORD0022,Carbonara,3,2024-03-16 10:53
ORD0022,Espresso,1,2024-03-16 10:53
ORD0023,Deleted Item #404,2,2024-03-18 20:10
ORD0023,Deleted Item #404,2,2024-03-18 20:10
ORD0023,,3,2024-03-18 20:10
ORD0024,Fettuccine Alfredo,1,2024-03-11 16:48
ORD0024,Margherita,3,2024-03-11 16:48
ORD0025,Quattro Formaggi,1,2024-03-08 20:41
ORD0025,Panna Cotta,2,2024-03-08 20:41
ORD0025,Margherita,3,2024-03-08 20:41
ORD0026,Fettuccine Alfredo,3,2024-03-22 23:21
ORD0026,Prosecco,1,2024-03-22 23:21
ORD0026,Panna Cotta,3,2024-03-22 23:21
ORD0027,Espresso,3,2024-03-05 09:34
ORD0027,Margherita,1,2024-03-05 09:34
ORD0028,Fettuccine Alfredo,1,2024-03-07 18:12
ORD0028,Caesar Salad,3,2024-03-07 18:12
ORD0028,Lasagna,2,2024-03-07 18:12
ORD0029,Quattro Formaggi,1,2024-03-05 18:29
ORD0030,Quattro Formaggi,3,2024-03-25 23:30
ORD0030,Panna Cotta,3,2024-03-25 23:30
ORD0031,Tiramisu,3,2024-03-19 21:37
ORD0032,Fettuccine Alfredo,3,2024-03-28 21:19
ORD0032,Carbonara,1,2024-03-28 21:19
ORD0032,Marinara Pizza,2,2024-03-28 21:19
ORD0033,Margherita,1,2024-03-16 14:08
ORD0034,Marinara Pizza,2,2024-03-13 16:12
ORD0035,  PANNA COTTA  ,1,2024-03-10 20:49
ORD0036,Panna Cotta,1,2024-03-03 12:01
ORD0037,Marinara Pizza,2,2024-03-26 14:02
ORD0037,Panna Cotta,3,2024-03-26 14:02
ORD0038,Panna Cotta,3,2024-03-20 23:12
ORD0039,Calzone,1,invalid_date_99
ORD0039,Margherita,1,invalid_date_99
ORD0040,Greek Salad,1,2024-03-02 18:31
ORD0041,Fettuccine Alfredo,-10,2024-03-01 12:08
ORD0041,Deleted Item #404,2,2024-03-01 12:08
