item_name,category,price,cost
Cheesecake,Cakes,9,3
Chocolate Lava Cake,Cakes,11,4
Croissant,Pastries,5,1.5
Macaron Set,Pastries,12,4
Latte,Coffee,5.5,1
Cappuccino,Coffee,5.5,1
Turkish Coffee,Coffee,4,0.5
Fruit Tart,Cakes,8,2.5
English Tea,Tea,4.5,0.5
Baklava Plate,Pastries,10,3.5
Red Velvet Cake,Cakes,10,4
Brownie Sundae,Cakes,12,5
Danish Pastry,Pastries,6,2
Espresso,Coffee,3.5,0.5
Flat White,Coffee,6,1.5
Earl Grey,Tea,4,0.5
Green Tea,Tea,4.5,0.5
Carrot Cake,Cakes,9,3
Eclair,Pastries,7,2
Hot Chocolate,Coffee,6,2
Ice Cream Scoop,Desserts,5,1.5
