order_id,item_name,quantity,order_datetime
ORD0001,Latte,1,2024-03-09 10:26
ORD0001,Chocolate Lava Cake,2,2024-03-09 10:26
ORD0002,Earl Grey,2,2024-03-06 13:32
ORD0002,Croissant,3,2024-03-06 13:32
ORD0002,Espresso,2,2024-03-06 13:32
ORD0002,Cheesecake,1,2024-03-06 13:32
ORD0003,Latte,2,2024-03-09 10:47
ORD0003,Eclair,1,2024-03-09 10:47
ORD0003,Danish Pastry,3,2024-03-09 10:47
ORD0003,Carrot Cake,3,2024-03-09 10:47
ORD0004,Earl Grey,3,2024-03-09 15:24
ORD0004,Eclair,1,2024-03-09 15:24
ORD0004,English Tea,1,2024-03-09 15:24
ORD0005,Flat White,3,2024-03-01 16:32
ORD0005,Latte,2,2024-03-01 16:32
ORD0006,Eclair,3,2024-03-25 08:13
ORD0006,Croissant,2,2024-03-25 08:13
ORD0007,English Tea,3,2024-03-25 19:47
ORD0008,English Tea,2,2024-03-12 20:16
ORD0008,Espresso,2,2024-03-12 20:16
ORD0009,Earl Grey,3,2024-03-11 23:12
ORD0009,Ice Cream Scoop,3,2024-03-11 23:12
ORD0009,Eclair,2,2024-03-11 23:12
ORD0010,Eclair,3,2024-03-24 12:17
ORD0010,Espresso,2,2024-03-24 12:17
ORD0011,Macaron Set,3,2024-03-18 21:40
ORD0011,Espresso,1,2024-03-18 21:40
ORD0011,Croissant,2,2024-03-18 21:40
ORD0012,Eclair,1,2024-03-25 17:39
ORD0012,Hot Chocolate,3,2024-03-25 17:39
ORD0013,English Tea,3,2024-03-06 23:06
ORD0013,Eclair,1,2024-03-06 23:06
ORD0014,Ice Cream Scoop,3,2024-03-12 21:30
ORD0015,Eclair,3,2024-03-25 13:18
ORD0016,English Tea,2,2024-03-13 21:57
ORD0017,Earl Grey,2,2024-03-11 09:48
ORD0017,Espresso,2,2024-03-11 09:48
ORD0017,Carrot Cake,3,2024-03-11 09:48
ORD0018,English Tea,3,2024-03-02 11:46
ORD0018,Eclair,2,2024-03-02 11:46
ORD0018,Carrot Cake,3,2024-03-02 11:46
ORD0019,Croissant,1,2024-03-16 16:29
ORD0019,Espresso,1,2024-03-16 16:29
ORD0019,Carrot Cake,3,2024-03-16 16:29
ORD0020,Carrot Cake,2,2024-03-19 16:04
ORD0021,Macaron Set,3,2024-03-13 19:57
ORD0021,Latte,2,2024-03-13 19:57
ORD0021,Turkish Coffee,1,2024-03-13 19:57
ORD0021,Espresso,1,2024-03-13 19:57
ORD0022,Danish Pastry,3,2024-03-01 12:42
ORD0022,Espresso,1,2024-03-01 12:42
ORD0023,Earl Grey,1,2024-03-24 12:57
ORD0023,Espresso,1,2024-03-24 12:57
ORD0024,Earl Grey,2,2024-03-19 13:47
ORD0024,Flat White,3,2024-03-19 13:47
ORD0024,Espresso,2,2024-03-19 13:47
ORD0024,Carrot Cake,1,2024-03-19 13:47
ORD0025,Ice Cream Scoop,1,2024-03-22 09:15
ORD0025,Fruit Tart,2,2024-03-22 09:15
ORD0026,Earl Grey,2,2024-03-18 14:03
ORD0027,English Tea,3,2024-03-11 19:20
ORD0028,English Tea,2,2024-03-08 15:54
ORD0028,Ice Cream Scoop,1,2024-03-08 15:54
ORD0029,English Tea,1,2024-03-05 09:28
ORD0029,Carrot Cake,1,2024-03-05 09:28
ORD0030,English Tea,1,2024-03-11 18:50
ORD0030,Espresso,1,2024-03-11 18:50
ORD0030,Turkish Coffee,1,2024-03-11 18:50
ORD0030,Carrot Cake,1,2024-03-11 18:50
ORD0031,Espresso,3,2024-03-16 18:25
ORD0032,Earl Grey,1,2024-03-23 18:34
ORD0033,Turkish Coffee,2,2024-03-30 16:07
ORD0034,Ice Cream Scoop,3,2024-03-21 17:39
ORD0035,Earl Grey,3,2024-03-27 23:03
ORD0035,Eclair,2,2024-03-27 23:03
ORD0035,Espresso,2,2024-03-27 23:03
ORD0036,English Tea,2,2024-03-27 21:20
ORD0036,Latte,2,2024-03-27 21:20
ORD0036,Turkish Coffee,1,2024-03-27 21:20
ORD0037,Latte,2,2024-03-10 20:32
ORD0037,Eclair,3,2024-03-10 20:32
ORD0037,Espresso,1,2024-03-10 20:32
ORD0038,Earl Grey,1,2024-03-21 10:20
ORD0038,Cheesecake,3,2024-03-21 10:20
ORD0039,Espresso,2,2024-03-30 15:34
ORD0040,Espresso,2,2024-03-14 10:39
ORD0040,Croissant,3,2024-03-14 10:39
ORD0041,English Tea,2,2024-03-15 21:59
ORD0041,Green Tea,2,2024-03-15 21:59
ORD0041,Espresso,2,2024-03-15 21:59
ORD0042,Croissant,2,2024-03-12 15:29
ORD0043,Turkish Coffee,2,2024-03-09 17:56
ORD0043,Espresso,1,2024-03-09 17:56
ORD0043,Fruit Tart,1,2024-03-09 17:56
ORD0044,English Tea,3,2024-03-19 12:05
ORD0044,Danish Pastry,1,2024-03-19 12:05
ORD0045,English Tea,3,2024-03-19 09:16
ORD0046,English Tea,3,2024-03-09 20:55
ORD0046,Eclair,3,2024-03-09 20:55
ORD0046,Fruit Tart,3,2024-03-09 20:55
ORD0047,Earl Grey,3,2024-03-25 12:51
ORD0048,Earl Grey,2,2024-03-03 22:22
ORD0048,Espresso,2,2024-03-03 22:22
ORD0049,Earl Grey,1,2024-03-01 11:19
ORD0049,Croissant,2,2024-03-01 11:19
ORD0050,English Tea,1,2024-03-08 08:23
ORD0050,Macaron Set,3,2024-03-08 08:23
ORD0051,Eclair,1,2024-03-10 23:48
ORD0052,Latte,3,2024-03-29 16:29
ORD0053,Eclair,3,2024-03-11 18:49
ORD0054,Carrot Cake,2,2024-03-10 08:24
ORD0055,English Tea,3,2024-03-13 23:26
ORD0055,Espresso,1,2024-03-13 23:26
ORD0055,Earl Grey,3,2024-03-13 23:26
ORD0056,Carrot Cake,2,2024-03-20 17:20
ORD0057,Earl Grey,2,2024-03-22 18:31
ORD0058,Earl Grey,1,2024-03-17 12:37
ORD0058,Ice Cream Scoop,1,2024-03-17 12:37
ORD0058,Flat White,3,2024-03-17 12:37
ORD0059,English Tea,3,2024-03-08 22:53
ORD0059,Eclair,3,2024-03-08 22:53
ORD0059,Carrot Cake,3,2024-03-08 22:53
ORD0059,Earl Grey,2,2024-03-08 22:53
ORD0060,Ice Cream Scoop,2,2024-03-07 21:09
ORD0060,Eclair,2,2024-03-07 21:09
ORD0060,Espresso,3,2024-03-07 21:09
ORD0061,Espresso,1,2024-03-16 10:13
ORD0062,Earl Grey,2,2024-03-11 11:49
ORD0062,Ice Cream Scoop,1,2024-03-11 11:49
ORD0062,Carrot Cake,2,2024-03-11 11:49
ORD0063,English Tea,1,2024-03-29 11:19
ORD0063,Carrot Cake,3,2024-03-29 11:19
ORD0064,Eclair,1,2024-03-08 10:00
