order_id,item_name,quantity,order_datetime
ORD001,French Toast,1,2024-03-21 07:47
ORD001,Pancakes,1,2024-03-21 07:47
ORD002,Grilled Chicken,1,2024-03-19 12:01
ORD003,Avocado Toast,2,2024-03-18 11:26
ORD004,Omelette,2,2024-03-26 08:44
ORD004,Pancakes,1,2024-03-26 08:44
ORD005,Soft Drink,2,2024-03-03 12:22
ORD005,Crème Brûlée,1,2024-03-03 12:22
ORD006,Ice Cream,2,2024-03-30 12:35
ORD006,Soft Drink,1,2024-03-30 12:35
ORD007,Fresh Juice,1,2024-03-23 07:42
ORD008,Avocado Toast,1,2024-03-28 07:24
ORD008,Smoothie,2,2024-03-28 07:24
ORD009,Cappuccino,1,2024-03-12 09:44
ORD009,Cappuccino,1,2024-03-12 09:44
ORD009,Pancakes,2,2024-03-12 09:44
ORD010,Grilled Chicken,1,2024-03-13 17:44
ORD010,Soup of the Day,1,2024-03-13 17:44
ORD010,Cheesecake,1,2024-03-13 17:44
ORD011,Grilled Chicken,2,2024-03-26 15:17
ORD012,White Wine (glass),2,2024-03-07 21:25
ORD012,Sea Bass,2,2024-03-07 21:25
ORD012,Mushroom Risotto,2,2024-03-07 21:25
ORD013,Eggs Benedict,1,2024-03-12 08:32
ORD013,Eggs Benedict,1,2024-03-12 08:32
ORD014,Avocado Toast,2,2024-03-21 10:38
ORD015,White Wine (glass),1,2024-03-17 16:55
ORD016,Fresh Juice,1,2024-03-22 20:49
ORD016,Sea Bass,2,2024-03-22 20:49
ORD016,Grilled Salmon,1,2024-03-22 20:49
ORD017,Espresso,1,2024-03-17 09:53
ORD017,Pancakes,1,2024-03-17 09:53
ORD017,Avocado Toast,2,2024-03-17 09:53
ORD018,Soft Drink,2,2024-03-16 07:59
ORD018,Smoothie,1,2024-03-16 07:59
ORD019,Fresh Juice,1,2024-03-02 11:05
ORD020,White Wine (glass),2,2024-03-25 19:08
ORD020,Champagne (glass),1,2024-03-25 19:08
ORD020,Sea Bass,1,2024-03-25 19:08
ORD021,Pasta Carbonara,1,2024-03-23 15:42
ORD021,Bruschetta,1,2024-03-23 15:42
ORD021,Espresso,1,2024-03-23 15:42
ORD022,Espresso,1,2024-03-11 11:35
ORD023,Chicken Wings,2,2024-03-03 18:14
ORD024,Rosé Wine (glass),2,2024-03-03 19:17
ORD024,Champagne (glass),1,2024-03-03 19:17
ORD024,Chocolate Cake,2,2024-03-03 19:17
ORD025,White Wine (glass),2,2024-03-26 13:06
ORD026,Avocado Toast,1,2024-03-14 15:55
ORD026,White Wine (glass),2,2024-03-14 15:55
ORD026,Red Wine (glass),2,2024-03-14 15:55
ORD027,Espresso,1,2024-03-26 08:12
ORD028,Soft Drink,1,2024-03-14 09:29
ORD029,Onion Rings,1,2024-03-15 18:03
ORD029,Nachos,1,2024-03-15 18:03
ORD029,Spring Rolls,2,2024-03-15 18:03
ORD030,Bruschetta,1,2024-03-16 13:55
ORD030,Club Sandwich,2,2024-03-16 13:55
ORD031,Spring Rolls,2,2024-03-09 14:27
ORD031,Onion Rings,1,2024-03-09 14:27
ORD031,Smoothie,1,2024-03-09 14:27
ORD032,Espresso,2,2024-03-10 07:37
ORD032,Fresh Juice,1,2024-03-10 07:37
ORD032,Eggs Benedict,1,2024-03-10 07:37
ORD033,Eggs Benedict,1,2024-03-17 08:04
ORD033,Soft Drink,1,2024-03-17 08:04
ORD033,Avocado Toast,1,2024-03-17 08:04
ORD034,Espresso,2,2024-03-14 22:36
ORD034,Sea Bass,1,2024-03-14 22:36
ORD034,Cheesecake,2,2024-03-14 22:36
ORD035,Ice Cream,1,2024-03-13 09:29
ORD035,Ice Cream,2,2024-03-13 09:29
ORD036,Lamb Chops,1,2024-03-20 18:04
ORD036,Sea Bass,1,2024-03-20 18:04
ORD036,Chicken Wings,2,2024-03-20 18:04
ORD037,Cappuccino,1,2024-03-10 10:53
ORD037,Cappuccino,2,2024-03-10 10:53
ORD037,Spring Rolls,1,2024-03-10 10:53
ORD038,Fresh Juice,1,2024-03-29 09:07
ORD039,Pasta Carbonara,2,2024-03-09 16:13
ORD039,Rosé Wine (glass),2,2024-03-09 16:13
ORD039,Nachos,1,2024-03-09 16:13
ORD040,Soup of the Day,1,2024-03-03 21:53
ORD040,Fresh Juice,2,2024-03-03 21:53
ORD041,Red Wine (glass),1,2024-03-06 21:35
ORD041,Caesar Salad,1,2024-03-06 21:35
ORD041,Pasta Carbonara,2,2024-03-06 21:35
ORD042,Soup of the Day,2,2024-03-19 19:27
ORD043,French Toast,2,2024-03-29 09:13
ORD043,Pancakes,1,2024-03-29 09:13
ORD043,Fresh Juice,1,2024-03-29 09:13
ORD044,Eggs Benedict,2,2024-03-28 08:56
ORD044,Fresh Juice,2,2024-03-28 08:56
ORD045,Ice Cream,1,2024-03-26 19:17
ORD046,Smoothie,2,2024-03-13 10:14
ORD047,White Wine (glass),2,2024-03-12 13:14
ORD048,Pasta Carbonara,2,2024-03-11 12:49
ORD048,Fresh Juice,1,2024-03-11 12:49
ORD049,Omelette,2,2024-03-04 13:37
ORD049,Soft Drink,2,2024-03-04 13:37
ORD050,Chicken Wings,1,2024-03-14 22:07
ORD050,Lamb Chops,2,2024-03-14 22:07
ORD051,Spring Rolls,2,2024-03-01 22:43
ORD051,Crème Brûlée,1,2024-03-01 22:43
ORD051,Lamb Chops,2,2024-03-01 22:43
ORD052,Champagne (glass),2,2024-03-20 17:54
ORD053,Grilled Salmon,1,2024-03-17 17:26
ORD053,Soup of the Day,1,2024-03-17 17:26
ORD054,Chicken Wings,1,2024-03-14 21:43
ORD054,Tiramisu,2,2024-03-14 21:43
